Address;LOT_OPERATOR;Geom;Geo Local Area;geo_point_2d
1 Kingsway;Easypark;"{""coordinates"": [-123.1002054, 49.2641594], ""type"": ""Point""}";Mount Pleasant;49.2641594, -123.1002054
1001 Cotton Dr;Park Board;"{""coordinates"": [-123.0712951, 49.27602904], ""type"": ""Point""}";Grandview-Woodland;49.27602904, -123.0712951
451 Beach Crescent;City of Vancouver;"{""coordinates"": [-123.12833, 49.272514], ""type"": ""Point""}";Downtown;49.272514, -123.12833
1200 Thornton St;City of Vancouver;"{""coordinates"": [-123.09242, 49.274598], ""type"": ""Point""}";Strathcona;49.274598, -123.09242
W 6th Ave and Dunbar St;City of Vancouver;"{""coordinates"": [-123.1836464, 49.26669796], ""type"": ""Point""}";Kitsilano;49.26669796, -123.1836464
4747 Dunbar St;Park Board;"{""coordinates"": [-123.1867492, 49.24398206], ""type"": ""Point""}";Dunbar-Southlands;49.24398206, -123.1867492
3350 Maquinna Dr;City of Vancouver;"{""coordinates"": [-123.0322641, 49.21502647], ""type"": ""Point""}";Killarney;49.21502647, -123.0322641
2099 Beach Ave;City of Vancouver;"{""coordinates"": [-123.1450048, 49.29103765], ""type"": ""Point""}";;49.29103765, -123.1450048
7188 Macdonald St;Easypark;"{""coordinates"": [-123.16864, 49.22098], ""type"": ""Point""}";Kerrisdale;49.22098, -123.16864
950 W 71st Ave;City of Vancouver;"{""coordinates"": [-123.1296567, 49.206856], ""type"": ""Point""}";Marpole;49.206856, -123.1296567
Beach Ave and Broughton St;Easy Park / Park Board;"{""coordinates"": [-123.137209, 49.278736], ""type"": ""Point""}";West End;49.278736, -123.137209
775 Hamilton St;Easypark;"{""coordinates"": [-123.115166, 49.27951686], ""type"": ""Point""}";Downtown;49.27951686, -123.115166
272 E 53rd Ave;City of Vancouver;"{""coordinates"": [-123.10009, 49.222282], ""type"": ""Point""}";Sunset;49.222282, -123.10009
453 W. 12th Ave;City of Vancouver;"{""coordinates"": [-123.11318, 49.261093], ""type"": ""Point""}";Mount Pleasant;49.261093, -123.11318
5175 Dumfries St;City of Vancouver;"{""coordinates"": [-123.0749085, 49.23778463], ""type"": ""Point""}";Kensington-Cedar Cottage;49.23778463, -123.0749085
1950 Windermere St;City of Vancouver;"{""coordinates"": [-123.0364197, 49.26620727], ""type"": ""Point""}";Hastings-Sunrise;49.26620727, -123.0364197
3600 W 12th Ave;City of Vancouver;"{""coordinates"": [-123.1839847, 49.26147864], ""type"": ""Point""}";Kitsilano;49.26147864, -123.1839847
1950 Windermere St;City of Vancouver;"{""coordinates"": [-123.056169, 49.225902], ""type"": ""Point""}";Victoria-Fraserview;49.225902, -123.056169
E 47th Ave and Nanaimo St;City of Vancouver;"{""coordinates"": [-123.058989, 49.2276698], ""type"": ""Point""}";Victoria-Fraserview;49.2276698, -123.058989
Beach Ave and Cardero St;Easy Park / Park Board;"{""coordinates"": [-123.142173, 49.283155], ""type"": ""Point""}";West End;49.283155, -123.142173
1 Kingsway;Easypark;"{""coordinates"": [-123.1001732, 49.26413139], ""type"": ""Point""}";Mount Pleasant;49.26413139, -123.1001732
W 14th Ave & Pine St;City of Vancouver;"{""coordinates"": [-123.14356, 49.25753929], ""type"": ""Point""}";Fairview;49.25753929, -123.14356
4575 Clancy Loranger Way;Park Board;"{""coordinates"": [-123.106551, 49.243681], ""type"": ""Point""}";Riley Park;49.243681, -123.106551
3311 E Hastings St;City of Vancouver;"{""coordinates"": [-123.033813, 49.281468], ""type"": ""Point""}";Hastings-Sunrise;49.281468, -123.033813
453 W. 12th Ave;City of Vancouver;"{""coordinates"": [-123.11374, 49.26122], ""type"": ""Point""}";Mount Pleasant;49.26122, -123.11374
646 E 44th Ave;City of Vancouver;"{""coordinates"": [-123.09136, 49.22977564], ""type"": ""Point""}";Sunset;49.22977564, -123.09136
950 W 71st Ave;City of Vancouver;"{""coordinates"": [-123.129708, 49.20686198], ""type"": ""Point""}";Marpole;49.20686198, -123.129708
W 6th Ave and Dunbar St;City of Vancouver;"{""coordinates"": [-123.183639, 49.2667697], ""type"": ""Point""}";Kitsilano;49.2667697, -123.183639
845 Avison Way;Vancouver Aquarium;"{""coordinates"": [-123.13022, 49.299534], ""type"": ""Point""}";;49.299534, -123.13022
959-979 Mainland St;City of Vancouver;"{""coordinates"": [-123.119261061127, 49.2769232201811], ""type"": ""Point""}";Downtown;49.2769232201811, -123.119261061127
6100 Maple St;City of Vancouver;"{""coordinates"": [-123.152093, 49.23069423], ""type"": ""Point""}";Kerrisdale;49.23069423, -123.152093
1025 W 49th Ave;Telus / Retailer;"{""coordinates"": [-123.129085, 49.226886], ""type"": ""Point""}";Oakridge;49.226886, -123.129085
646 E 44th Ave;City of Vancouver;"{""coordinates"": [-123.0913534, 49.22992861], ""type"": ""Point""}";Sunset;49.22992861, -123.0913534
1674 E 11th;City of Vancouver;"{""coordinates"": [-123.07019, 49.26046], ""type"": ""Point""}";Kensington-Cedar Cottage;49.26046, -123.07019
3360 Victoria Dr;City of Vancouver;"{""coordinates"": [-123.0657062, 49.25665198], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25665198, -123.0657062
7800 Vivian Dr;Easypark;"{""coordinates"": [-123.036432, 49.266893], ""type"": ""Point""}";Hastings-Sunrise;49.266893, -123.036432
6706 Alberta St;Easypark;"{""coordinates"": [-123.112645, 49.224075], ""type"": ""Point""}";Oakridge;49.224075, -123.112645
4950 Magnolia St;City of Vancouver;"{""coordinates"": [-123.1501761, 49.24493476], ""type"": ""Point""}";Arbutus Ridge;49.24493476, -123.1501761
Beach Ave and Bute St;Easy Park / Park Board;"{""coordinates"": [-123.137209, 49.278736], ""type"": ""Point""}";West End;49.278736, -123.137209
225 N Renfrew St;Pacific National Exhibition;"{""coordinates"": [-123.0434945, 49.28638478], ""type"": ""Point""}";Hastings-Sunrise;49.28638478, -123.0434945
6260 Killarney St;City of Vancouver;"{""coordinates"": [-123.0448471, 49.22695487], ""type"": ""Point""}";Killarney;49.22695487, -123.0448471
860 Richards St;City of Vancouver;"{""coordinates"": [-123.1189488, 49.27935408], ""type"": ""Point""}";Downtown;49.27935408, -123.1189488
2221 Main St;Easypark;"{""coordinates"": [-123.1012162, 49.2651549], ""type"": ""Point""}";Mount Pleasant;49.2651549, -123.1012162
3900 Pt Grey Rd;Easypark;"{""coordinates"": [-123.1912032, 49.27099147], ""type"": ""Point""}";West Point Grey;49.27099147, -123.1912032
Yew and W 51st Street;City of Vancouver;"{""coordinates"": [-123.1591984, 49.22243553], ""type"": ""Point""}";Kerrisdale;49.22243553, -123.1591984
Pine St & W 14th Ave;City of Vancouver;"{""coordinates"": [-123.1435587, 49.25755419], ""type"": ""Point""}";Fairview;49.25755419, -123.1435587
6100 Maple St;City of Vancouver;"{""coordinates"": [-123.1521057, 49.23064495], ""type"": ""Point""}";Kerrisdale;49.23064495, -123.1521057
5275 McKinnon St;City of Vancouver;"{""coordinates"": [-123.0359184, 49.23730153], ""type"": ""Point""}";Renfrew-Collingwood;49.23730153, -123.0359184
3600 W 12th Ave;City of Vancouver;"{""coordinates"": [-123.183982, 49.261488], ""type"": ""Point""}";Kitsilano;49.261488, -123.183982
860 Richards St;City of Vancouver;"{""coordinates"": [-123.1190036, 49.27932239], ""type"": ""Point""}";Downtown;49.27932239, -123.1190036
Yew and 51st Street;City of Vancouver;"{""coordinates"": [-123.159084, 49.224867], ""type"": ""Point""}";Kerrisdale;49.224867, -123.159084
4950 Magnolia St;City of Vancouver;"{""coordinates"": [-123.1501499, 49.24493038], ""type"": ""Point""}";Arbutus Ridge;49.24493038, -123.1501499
1305 Arbutus St;City of Vancouver;"{""coordinates"": [-123.1526562, 49.27391195], ""type"": ""Point""}";Kitsilano;49.27391195, -123.1526562
E 47th Ave and Nanaimo St;City of Vancouver;"{""coordinates"": [-123.0590162, 49.22763592], ""type"": ""Point""}";Victoria-Fraserview;49.22763592, -123.0590162
2221 Main St;Easypark;"{""coordinates"": [-123.1012092, 49.26515884], ""type"": ""Point""}";Mount Pleasant;49.26515884, -123.1012092
